,Normal,Normal,T(3),T(3),T(4),T(4),T(5),T(5),T(6),T(6),T(7),T(7),T(8),T(8),T(9),T(9),T(10),T(10)
,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction,Average,Ratio Reduction
fly,"(56.831, 17.1)*","(56.254, 2.3)","(47.867, 14.5)*","(61.868, 3.6)","(40.496, 25.5)*","(64.301, 5.1)","(42.46, 11.8)*","(66.341, 6.3)","(30.4, 17.0)","(70.465, 7.7)","(18.342, 24.4)","(72.388, 8.5)","(23.691, 22.3)","(77.2, 9.3)","(18.717, 25.9)","(84.444, 8.7)","(17.262, 18.8)","(82.962, 7.4)"
mouse,"(55.848, 11.1)*","(54.358, 1.3)","(55.205, 12.2)*","(59.17, 2.4)","(48.747, 8.7)*","(62.696, 4.1)","(38.273, 14.6)","(66.935, 3.6)","(26.502, 28.8)","(72.554, 3.0)","(24.884, 17.8)","(76.568, 2.4)","(20.709, 22.0)","(80.0, 2.2)","(21.424, 22.6)","(85.087, 3.4)","(4.714, 14.9)","(86.326, 3.4)"
worm,"(57.251, 5.3)*","(53.258, 1.2)","(45.241, 12.0)*","(52.989, 2.6)","(42.428, 7.6)*","(53.435, 3.0)","(42.191, 9.6)*","(54.042, 3.6)","(38.826, 8.8)","(52.552, 4.4)","(37.448, 10.1)","(57.088, 4.1)","(33.976, 17.8)","(55.116, 5.5)","(34.31, 9.4)","(54.144, 4.4)","(32.485, 16.2)","(54.666, 7.1)"
yeast,"(37.337, 27.7)*","(53.536, 1.4)","(31.985, 28.5)*","(55.695, 3.2)","(29.608, 26.1)","(56.473, 4.6)","(28.008, 24.7)","(58.435, 5.6)","(20.83, 27.4)","(55.751, 3.0)","(27.032, 29.1)","(54.66, 3.9)","(14.598, 23.7)","(54.011, 4.5)","(20.667, 27.1)","(52.812, 5.0)","(15.947, 26.6)","(54.074, 4.8)"
