organism,populationSize,mutationProbability,crossoverProbability,kValue,runningDataset,fold,GMean,selectionRate,Best GMean AGMO
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,BPMF,3,0.0,0.5825852782764811,0.6221710168382552
Saccharomyces cerevisiae,100,0.20000000298023224,0.5,9,BPMFCC,3,0.4472135954999579,0.5844057532172596,0.4472135954999579
Drosophila melanogaster,150,0.20000000298023224,0.5,1,CC,3,0.8451542547285166,0.6613756613756614,0.8451542547285166
Drosophila melanogaster,150,0.20000000298023224,0.5,1,MF,3,0.9258200997725514,0.6351706036745407,0.9258200997725514
Drosophila melanogaster,150,0.20000000298023224,0.5,1,MFCC,3,1.0,0.6877192982456141,1.0
Drosophila melanogaster,150,0.20000000298023224,0.5,1,BP,3,0.9534625892455924,0.6575984990619137,0.9534625892455924
Drosophila melanogaster,150,0.20000000298023224,0.5,1,BPCC,3,1.0,0.6645418326693228,1.0
Drosophila melanogaster,150,0.20000000298023224,0.5,1,BPMF,3,0.9534625892455924,0.6427090532135452,0.9534625892455924
Drosophila melanogaster,150,0.20000000298023224,0.5,1,BPMFCC,3,1.0,0.8099022004889975,1.0
Mus musculus,150,0.20000000298023224,0.5,1,CC,3,1.0,0.4938650306748466,1.0
Mus musculus,150,0.20000000298023224,0.5,1,MF,3,0.9354143466934853,0.5807050092764379,0.9354143466934853
Mus musculus,150,0.20000000298023224,0.5,1,MFCC,3,1.0,0.561849710982659,1.0
Mus musculus,150,0.20000000298023224,0.5,1,BP,3,0.9354143466934853,0.6005535055350554,0.9354143466934853
Mus musculus,150,0.20000000298023224,0.5,1,BPCC,3,0.9354143466934853,0.5846030473135525,0.9354143466934853
Mus musculus,150,0.20000000298023224,0.5,1,BPMF,3,0.8100925873009825,0.49981529368304395,0.8100925873009825
Mus musculus,150,0.20000000298023224,0.5,1,BPMFCC,3,1.0,0.7385426969996703,1.0
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,CC,3,0.8044807947443035,0.7365728900255755,0.8044807947443035
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,MF,3,0.795233581851359,0.7928571428571428,0.795233581851359
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,MFCC,3,0.8067760370539627,0.763519706691109,0.8067760370539627
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,BP,3,0.8544176881355023,0.7266134880348079,0.8544176881355023
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,BPCC,3,0.8360409661263138,0.8112994350282486,0.8360409661263138
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,BPMF,3,0.8338262841799539,0.7594997594997595,0.8338262841799539
Caenorhabditis elegans,150,0.20000000298023224,0.5,1,BPMFCC,3,0.8249080995972007,0.7360323886639676,0.8249080995972007
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,CC,3,0.0,0.7125603864734299,0.7491931143441223
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,MF,3,0.7491931143441223,0.7439903846153846,0.8347300123683029
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,MFCC,3,0.762000762001143,0.6845906902086677,0.762000762001143
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,BP,3,0.762000762001143,0.6489971346704871,0.8650936924831862
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,BPCC,3,0.8650936924831862,0.7215469613259669,0.8650936924831862
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,BPMF,3,0.762000762001143,0.598294434470377,0.762000762001143
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,1,BPMFCC,3,0.6221710168382552,0.5779712339137018,0.6221710168382552
Drosophila melanogaster,150,0.20000000298023224,0.5,5,CC,3,0.6241877839323592,0.6349206349206349,0.8374357893586238
Drosophila melanogaster,150,0.20000000298023224,0.5,5,MF,3,0.7207499701564472,0.6115485564304461,0.7207499701564472
Drosophila melanogaster,150,0.20000000298023224,0.5,5,MFCC,3,0.8058229640253803,0.6263157894736842,0.8058229640253803
Drosophila melanogaster,150,0.20000000298023224,0.5,5,BP,3,0.9258200997725514,0.6866791744840526,0.9258200997725514
Drosophila melanogaster,150,0.20000000298023224,0.5,5,BPCC,3,0.9258200997725514,0.6374501992031872,0.9258200997725514
Drosophila melanogaster,150,0.20000000298023224,0.5,5,BPMF,3,1.0,0.6026261230131306,1.0
Drosophila melanogaster,150,0.20000000298023224,0.5,5,BPMFCC,3,0.9534625892455924,0.7237163814180929,0.9534625892455924
Mus musculus,150,0.20000000298023224,0.5,5,CC,3,1.0,0.558282208588957,1.0
Mus musculus,150,0.20000000298023224,0.5,5,MF,3,0.9354143466934853,0.6512059369202227,0.9354143466934853
Mus musculus,150,0.20000000298023224,0.5,5,MFCC,3,1.0,0.684393063583815,1.0
Mus musculus,150,0.20000000298023224,0.5,5,BP,3,0.9354143466934853,0.6153136531365314,0.9354143466934853
Mus musculus,150,0.20000000298023224,0.5,5,BPCC,3,0.8660254037844386,0.6090617481956696,0.8660254037844386
Mus musculus,150,0.20000000298023224,0.5,5,BPMF,3,0.8660254037844386,0.5770225341706686,0.8660254037844386
Mus musculus,150,0.20000000298023224,0.5,5,BPMFCC,3,0.8100925873009825,0.49554896142433236,0.8100925873009825
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,CC,3,0.7653749516204769,0.80306905370844,0.8067760370539627
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,MF,3,0.6177837847772697,0.82,0.6177837847772697
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,MFCC,3,0.8067760370539627,0.8872593950504125,0.8067760370539627
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,BP,3,0.7297563831157798,0.8194343727338651,0.7590674752304057
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,BPCC,3,0.8249080995972007,0.8988700564971751,0.8249080995972007
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,BPMF,3,0.7205766921228921,0.7676767676767676,0.760527689741738
Caenorhabditis elegans,150,0.20000000298023224,0.5,5,BPMFCC,3,0.7787867973583302,0.6740890688259109,0.7787867973583302
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,CC,3,0.0,0.5845410628019324,0.4250237185032414
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,MF,3,0.6324555320336759,0.6634615384615384,0.6324555320336759
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,MFCC,3,0.4472135954999579,0.5802568218298555,0.4472135954999579
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,BP,3,0.0,0.6031518624641834,0.6324555320336759
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,BPCC,3,0.4472135954999579,0.7298342541436464,0.4472135954999579
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,BPMF,3,0.6221710168382552,0.5911131059245961,0.6221710168382552
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,5,BPMFCC,3,0.4472135954999579,0.5840272520817562,0.4472135954999579
Drosophila melanogaster,150,0.20000000298023224,0.5,9,CC,3,0.6241877839323592,0.6296296296296297,0.6837634587578277
Drosophila melanogaster,150,0.20000000298023224,0.5,9,MF,3,0.6546536707079771,0.7401574803149606,0.7207499701564472
Drosophila melanogaster,150,0.20000000298023224,0.5,9,MFCC,3,0.7207499701564472,0.6877192982456141,0.7207499701564472
Drosophila melanogaster,150,0.20000000298023224,0.5,9,BP,3,0.8451542547285166,0.5881801125703565,0.8451542547285166
Drosophila melanogaster,150,0.20000000298023224,0.5,9,BPCC,3,0.8451542547285166,0.595219123505976,0.8451542547285166
Drosophila melanogaster,150,0.20000000298023224,0.5,9,BPMF,3,1.0,0.6710435383552177,1.0
Drosophila melanogaster,150,0.20000000298023224,0.5,9,BPMFCC,3,1.0,0.6803178484107579,1.0
Mus musculus,150,0.20000000298023224,0.5,9,CC,3,1.0,0.6595092024539877,1.0
Mus musculus,150,0.20000000298023224,0.5,9,MF,3,0.8660254037844386,0.5918367346938775,0.8660254037844386
Mus musculus,150,0.20000000298023224,0.5,9,MFCC,3,1.0,0.6265895953757226,1.0
Mus musculus,150,0.20000000298023224,0.5,9,BP,3,0.8660254037844386,0.5793357933579336,0.8660254037844386
Mus musculus,150,0.20000000298023224,0.5,9,BPCC,3,0.7071067811865476,0.4831595829991981,0.7071067811865476
Mus musculus,150,0.20000000298023224,0.5,9,BPMF,3,0.8660254037844386,0.5943849279645363,0.8660254037844386
Mus musculus,150,0.20000000298023224,0.5,9,BPMFCC,3,0.8660254037844386,0.7118364655456644,0.8660254037844386
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,CC,3,0.7267093702958147,0.7365728900255755,0.7933712055667795
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,MF,3,0.6177837847772697,0.69,0.6177837847772697
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,MFCC,3,0.7882269819968922,0.7809349220898258,0.7882269819968922
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,BP,3,0.7653749516204769,0.7215373459028281,0.7653749516204769
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,BPCC,3,0.8249080995972007,0.803954802259887,0.8249080995972007
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,BPMF,3,0.737820234355803,0.721019721019721,0.737820234355803
Caenorhabditis elegans,150,0.20000000298023224,0.5,9,BPMFCC,3,0.7825765365144539,0.7923076923076923,0.7825765365144539
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,CC,3,0.0,0.5893719806763285,0.4325468462415931
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,MF,3,0.4472135954999579,0.5673076923076923,0.4472135954999579
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,MFCC,3,0.4472135954999579,0.6252006420545746,0.4472135954999579
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,BP,3,0.0,0.6103151862464183,0.6117136163165708
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,BPCC,3,0.0,0.47569060773480665,0.0
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,BPMF,3,0.4472135954999579,0.572262118491921,0.4472135954999579
Saccharomyces cerevisiae,150,0.20000000298023224,0.5,9,BPMFCC,3,0.4472135954999579,0.5904617713853142,0.4472135954999579
Drosophila melanogaster,200,0.20000000298023224,0.5,1,CC,3,0.6241877839323592,0.6190476190476191,0.8374357893586238
Drosophila melanogaster,200,0.20000000298023224,0.5,1,MF,3,0.9258200997725514,0.6377952755905512,0.9258200997725514
Drosophila melanogaster,200,0.20000000298023224,0.5,1,MFCC,3,1.0,0.7842105263157895,1.0
Drosophila melanogaster,200,0.20000000298023224,0.5,1,BP,3,0.9534625892455924,0.575046904315197,0.9534625892455924
Drosophila melanogaster,200,0.20000000298023224,0.5,1,BPCC,3,0.9534625892455924,0.5091633466135458,0.9534625892455924
Drosophila melanogaster,200,0.20000000298023224,0.5,1,BPMF,3,0.9534625892455924,0.6952315134761575,0.9534625892455924
Drosophila melanogaster,200,0.20000000298023224,0.5,1,BPMFCC,3,1.0,0.6668704156479217,1.0
Mus musculus,200,0.20000000298023224,0.5,1,CC,3,1.0,0.5429447852760736,1.0
Mus musculus,200,0.20000000298023224,0.5,1,MF,3,0.9354143466934853,0.6530612244897959,0.9354143466934853
Mus musculus,200,0.20000000298023224,0.5,1,MFCC,3,1.0,0.553757225433526,1.0
Mus musculus,200,0.20000000298023224,0.5,1,BP,3,0.9354143466934853,0.6291512915129152,0.9354143466934853
Mus musculus,200,0.20000000298023224,0.5,1,BPCC,3,0.9354143466934853,0.5834001603849238,0.9354143466934853
Mus musculus,200,0.20000000298023224,0.5,1,BPMF,3,0.8660254037844386,0.6401920945696343,0.8660254037844386
Mus musculus,200,0.20000000298023224,0.5,1,BPMFCC,3,1.0,0.6749093306956808,1.0
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,CC,3,0.7566275220348462,0.7953964194373402,0.7994080650317895
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,MF,3,0.8127133311198246,0.7914285714285715,0.8127133311198246
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,MFCC,3,0.7825765365144539,0.7580201649862511,0.7980189969710164
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,BP,3,0.8651709137847686,0.7744742567077593,0.8651709137847686
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,BPCC,3,0.8749471666213328,0.8689265536723164,0.8749471666213328
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,BPMF,3,0.8544176881355023,0.7724867724867724,0.8544176881355023
Caenorhabditis elegans,200,0.20000000298023224,0.5,1,BPMFCC,3,0.8338262841799539,0.7882591093117409,0.8338262841799539
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,CC,3,0.0,0.6763285024154589,0.7361626748694664
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,MF,3,0.762000762001143,0.7151442307692307,0.8347300123683029
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,MFCC,3,0.7745966692414834,0.6757624398073836,0.7745966692414834
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,BP,3,0.7361626748694664,0.6697707736389685,0.8500474370064828
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,BPCC,3,0.8798826901281198,0.6812154696132596,0.8798826901281198
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,BPMF,3,0.8650936924831862,0.671903052064632,0.8650936924831862
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,1,BPMFCC,3,0.7491931143441223,0.7255866767600303,0.7491931143441223
Drosophila melanogaster,200,0.20000000298023224,0.5,5,CC,3,0.5096471914376255,0.5396825396825397,0.7644707871564383
Drosophila melanogaster,200,0.20000000298023224,0.5,5,MF,3,0.6546536707079771,0.6666666666666666,0.7559289460184544
Drosophila melanogaster,200,0.20000000298023224,0.5,5,MFCC,3,0.8058229640253803,0.656140350877193,0.8058229640253803
Drosophila melanogaster,200,0.20000000298023224,0.5,5,BP,3,0.8827348295047495,0.6106941838649156,0.8827348295047495
Drosophila melanogaster,200,0.20000000298023224,0.5,5,BPCC,3,0.9258200997725514,0.6549800796812749,0.9258200997725514
Drosophila melanogaster,200,0.20000000298023224,0.5,5,BPMF,3,1.0,0.6620594333102972,1.0
Drosophila melanogaster,200,0.20000000298023224,0.5,5,BPMFCC,3,1.0,0.5880195599022005,1.0
Mus musculus,200,0.20000000298023224,0.5,5,CC,3,1.0,0.6196319018404908,1.0
Mus musculus,200,0.20000000298023224,0.5,5,MF,3,0.9354143466934853,0.7606679035250464,0.9354143466934853
Mus musculus,200,0.20000000298023224,0.5,5,MFCC,3,1.0,0.6138728323699422,1.0
Mus musculus,200,0.20000000298023224,0.5,5,BP,3,0.8660254037844386,0.5018450184501845,0.8660254037844386
Mus musculus,200,0.20000000298023224,0.5,5,BPCC,3,0.9354143466934853,0.6619887730553328,0.9354143466934853
Mus musculus,200,0.20000000298023224,0.5,5,BPMF,3,0.8660254037844386,0.5943849279645363,0.8660254037844386
Mus musculus,200,0.20000000298023224,0.5,5,BPMFCC,3,0.8660254037844386,0.6679854929113089,0.8660254037844386
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,CC,3,0.7825765365144539,0.7672634271099744,0.8167984839075116
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,MF,3,0.6354889093022426,0.7371428571428571,0.6354889093022426
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,MFCC,3,0.8158924398306318,0.847846012832264,0.8158924398306318
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,BP,3,0.7065835796489937,0.7295141406816533,0.7682686290553146
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,BPCC,3,0.8249080995972007,0.7451977401129943,0.8249080995972007
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,BPMF,3,0.7388220273960979,0.7508417508417509,0.7687498496656417
Caenorhabditis elegans,200,0.20000000298023224,0.5,5,BPMFCC,3,0.7882269819968922,0.823076923076923,0.7882269819968922
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,CC,3,0.0,0.6014492753623188,0.4951376478541908
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,MF,3,0.4472135954999579,0.6514423076923077,0.7093841036079205
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,MFCC,3,0.4472135954999579,0.5617977528089888,0.4472135954999579
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,BP,3,0.0,0.580945558739255,0.6221710168382552
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,BPCC,3,0.0,0.4790055248618785,0.6221710168382552
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,BPMF,3,0.4472135954999579,0.4887791741472172,0.4472135954999579
Saccharomyces cerevisiae,200,0.20000000298023224,0.5,5,BPMFCC,3,0.4472135954999579,0.49507948523845574,0.4472135954999579
Drosophila melanogaster,200,0.20000000298023224,0.5,9,CC,3,0.5096471914376255,0.5343915343915344,0.7207499701564473
Drosophila melanogaster,200,0.20000000298023224,0.5,9,MF,3,0.6546536707079771,0.7427821522309711,0.7559289460184544
Drosophila melanogaster,200,0.20000000298023224,0.5,9,MFCC,3,0.6837634587578277,0.6596491228070176,0.6837634587578277
Drosophila melanogaster,200,0.20000000298023224,0.5,9,BP,3,0.9258200997725514,0.7542213883677298,0.9258200997725514
Drosophila melanogaster,200,0.20000000298023224,0.5,9,BPCC,3,0.8451542547285166,0.6031872509960159,0.8451542547285166
Drosophila melanogaster,200,0.20000000298023224,0.5,9,BPMF,3,1.0,0.6841741534208707,1.0
Drosophila melanogaster,200,0.20000000298023224,0.5,9,BPMFCC,3,1.0,0.7237163814180929,1.0
Mus musculus,200,0.20000000298023224,0.5,9,CC,3,1.0,0.5858895705521472,1.0
Mus musculus,200,0.20000000298023224,0.5,9,MF,3,0.9354143466934853,0.6159554730983302,0.9354143466934853
