"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","1","-35.36","37.8","-0.7374301675977654"
"fly","100","0.2","0.5","0","-0.0","53.449999999999996","-0.6033519553072626"
"fly","100","0.2","0.5","2","-37.8","37.8","-0.7318435754189944"
"fly","100","0.2","0.5","3","-37.8","53.449999999999996","-0.7206703910614525"
"fly","100","0.2","0.5","4","-37.8","37.8","-0.7430167597765364"
"fly","100","0.2","0.5","5","-0.0","53.449999999999996","-0.7374301675977654"
"fly","100","0.2","0.5","6","-0.0","72.37","-0.664804469273743"
"fly","100","0.2","0.5","7","-0.0","65.47","-0.664804469273743"
"fly","100","0.2","0.5","9","-61.24000000000001","65.47","-0.7262569832402235"
"fly","100","0.2","0.5","8","-0.0","65.47","-0.6983240223463687"
"mouse","100","0.2","0.9","4","-0.0","0.0","-0.6996587030716723"
"mouse","100","0.2","0.9","1","-44.72","44.72","-0.6860068259385665"
"mouse","100","0.2","0.9","2","-44.72","0.0","-0.6996587030716723"
"mouse","100","0.2","0.9","0","-40.82","63.24999999999999","-0.6860068259385665"
"mouse","100","0.2","0.9","3","-44.72","67.08","-0.6279863481228669"
"mouse","100","0.2","0.9","5","-44.72","77.46","-0.6723549488054608"
"mouse","100","0.2","0.9","6","-0.0","44.72","-0.6860068259385665"
"mouse","100","0.2","0.9","8","-0.0","0.0","-0.7064846416382252"
"mouse","100","0.2","0.9","7","-0.0","63.24999999999999","-0.6791808873720137"
"mouse","100","0.2","0.9","9","-44.72","0.0","-0.7030716723549488"
"worm","100","0.2","0.9","1","-24.68","55.00000000000001","-0.5797546012269938"
"worm","100","0.2","0.9","4","-32.73","52.92","-0.6134969325153374"
"worm","100","0.2","0.9","3","-52.12","61.5","-0.5429447852760736"
"worm","100","0.2","0.9","0","-38.66","63.24999999999999","-0.549079754601227"
"worm","100","0.2","0.9","2","-41.18","55.00000000000001","-0.6012269938650306"
"worm","100","0.2","0.9","8","-31.919999999999998","50.92","-0.6257668711656442"
"worm","100","0.2","0.9","5","-44.75","54.47","-0.5429447852760736"
"worm","100","0.2","0.9","9","-25.590000000000003","61.45","-0.5644171779141104"
"worm","100","0.2","0.9","7","-36.54","44.31","-0.588957055214724"
"worm","100","0.2","0.9","6","-31.64","61.5","-0.6411042944785276"
"yeast","100","0.2","0.5","1","-0.0","0.0","-0.6589327146171694"
"yeast","100","0.2","0.5","0","-0.0","50.0","-0.6589327146171694"
"yeast","100","0.2","0.5","3","-0.0","0.0","-0.6589327146171694"
"yeast","100","0.2","0.5","2","-0.0","0.0","-0.6728538283062645"
"yeast","100","0.2","0.5","4","-0.0","50.0","-0.6566125290023201"
"yeast","100","0.2","0.5","5","-0.0","0.0","-0.6751740139211136"
"yeast","100","0.2","0.5","6","-0.0","49.68","-0.6450116009280742"
"yeast","100","0.2","0.5","8","-44.72","0.0","-0.6705336426914154"
"yeast","100","0.2","0.5","9","-0.0","0.0","-0.6566125290023201"
"yeast","100","0.2","0.5","7","-44.72","50.0","-0.654292343387471"
