"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","33.97","",""
"fly","","","","1","35.36","",""
"fly","","","","2","0.0","",""
"fly","","","","3","0.0","",""
"fly","","","","4","0.0","",""
"fly","","","","5","0.0","",""
"fly","","","","6","0.0","",""
"fly","","","","7","33.85","",""
"fly","","","","8","0.0","",""
"fly","","","","9","0.0","",""
"mouse","","","","0","57.74","",""
"mouse","","","","1","42.16","",""
"mouse","","","","2","44.72","",""
"mouse","","","","3","39.44","",""
"mouse","","","","4","39.44","",""
"mouse","","","","5","0.0","",""
"mouse","","","","6","0.0","",""
"mouse","","","","7","0.0","",""
"mouse","","","","8","0.0","",""
"mouse","","","","9","0.0","",""
"worm","","","","0","47.04","",""
"worm","","","","1","34.239999999999995","",""
"worm","","","","2","52.849999999999994","",""
"worm","","","","3","45.14","",""
"worm","","","","4","48.33","",""
"worm","","","","5","36.86","",""
"worm","","","","6","40.129999999999995","",""
"worm","","","","7","46.160000000000004","",""
"worm","","","","8","40.129999999999995","",""
"worm","","","","9","40.46","",""
"yeast","","","","0","0.0","",""
"yeast","","","","1","43.669999999999995","",""
"yeast","","","","2","0.0","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","0.0","",""
"yeast","","","","5","0.0","",""
"yeast","","","","6","0.0","",""
"yeast","","","","7","0.0","",""
"yeast","","","","8","44.46","",""
"yeast","","","","9","0.0","",""
