,0
GO:0035066,19
GO:0046855,18
GO:0006656,17
GO:0000321,17
GO:0019878,17
GO:0008033,16
GO:0034551,16
GO:0006342,16
GO:0000001,16
GO:0097695,15
GO:0042144,15
GO:0043161,15
GO:0045116,15
GO:0042744,15
GO:0006265,15
GO:0006097,15
GO:0007031,15
GO:0000077,15
GO:0000183,15
GO:0006310,15
GO:0006325,15
GO:0046323,15
GO:0042254,15
GO:0042026,15
GO:2000251,15
GO:0051666,15
GO:0007039,15
GO:0000079,14
GO:0055085,14
GO:0043433,14
GO:0009085,14
GO:0006488,14
GO:0031204,14
GO:0046777,14
GO:0016236,14
GO:0032543,14
GO:1901195,14
GO:0090305,14
GO:0009060,14
GO:0030488,14
GO:0006414,14
GO:0010737,14
GO:0006808,13
GO:0006397,13
GO:0006102,13
GO:0006336,13
GO:0006629,13
GO:0006631,13
GO:0009058,13
GO:0006334,13
GO:0048278,13
GO:0008150,13
GO:0031573,13
GO:0033617,13
GO:0000710,13
GO:0006122,13
GO:0042273,13
GO:0000184,13
GO:0016567,13
GO:0018105,13
GO:0002181,13
GO:0061709,13
GO:0006406,13
GO:0007007,13
GO:0070682,13
GO:0051301,13
GO:0006979,13
GO:0045053,13
GO:0000278,13
GO:0016559,13
GO:0000266,13
GO:0006094,13
GO:0015031,13
GO:0016558,12
GO:0007052,12
GO:0007049,12
GO:1990116,12
GO:0007265,12
GO:0006914,12
GO:0006493,12
GO:0006511,12
GO:0006887,12
GO:0000132,12
GO:0002098,12
GO:0007064,12
GO:0035556,12
GO:1904669,12
GO:0006744,12
GO:2000222,12
GO:0030242,12
GO:0000083,12
GO:0032979,12
GO:0030010,12
GO:0006368,12
GO:0016239,12
GO:0051131,12
GO:0006508,12
GO:0034622,12
GO:0032259,12
GO:0051321,12
GO:0006696,12
GO:0016578,12
GO:0015867,12
GO:0000147,12
GO:0016310,12
GO:0006096,12
GO:0000011,12
GO:0006006,12
GO:0006874,12
GO:0007094,12
GO:0006817,12
GO:0034605,12
GO:0015809,12
GO:0070814,12
GO:0006348,12
GO:0051594,12
GO:0006879,12
GO:0042908,12
GO:0010255,12
GO:0008361,12
GO:0018345,12
GO:0006865,12
GO:0000463,12
GO:0046034,12
GO:0006893,12
GO:1902600,12
GO:0030148,12
GO:0006906,12
GO:0006189,12
GO:0006487,12
GO:0034727,11
GO:0006298,11
GO:0006730,11
GO:0007124,11
GO:0030163,11
GO:0031145,11
GO:0000086,11
GO:0006486,11
GO:0019344,11
GO:0070681,11
GO:0006470,11
GO:0015918,11
GO:0051292,11
GO:0006811,11
GO:0030435,11
GO:0034389,11
GO:0045721,11
GO:0000209,11
GO:0008654,11
GO:0006886,11
GO:0000372,11
GO:0000055,11
GO:0017196,11
GO:0006474,11
GO:0006623,11
GO:0045324,11
GO:0016192,11
GO:0003333,11
GO:0044804,11
GO:0008298,11
GO:0006338,11
GO:0006281,11
GO:0043137,11
GO:0006351,11
GO:0046513,11
GO:0000122,11
GO:0043254,11
GO:0006099,11
GO:0000462,11
GO:0032968,11
GO:0031930,11
GO:0006261,11
GO:0061408,11
GO:0006665,11
GO:0008152,11
GO:0000422,11
GO:0006915,11
GO:0000730,10
GO:0006888,10
GO:0060237,10
GO:0032880,10
GO:0008380,10
GO:0006357,10
GO:0006270,10
GO:0042138,10
GO:0051085,10
GO:0030970,10
GO:0032508,10
GO:0046856,10
GO:0006260,10
GO:0033615,10
GO:0007059,10
GO:0006468,10
GO:0006537,10
GO:0006612,10
GO:0032511,10
GO:0015937,10
GO:0007131,10
GO:0019740,10
GO:0061406,10
GO:0007035,10
GO:0006116,10
GO:0035269,10
GO:0006413,10
GO:0006754,10
GO:0045332,10
GO:1904263,10
GO:0006633,10
GO:0006303,10
GO:0018063,10
GO:0019379,10
GO:0071555,10
GO:0015986,10
GO:0010971,10
GO:0016126,10
GO:0030466,10
GO:0006624,10
GO:0000045,10
GO:0016584,10
GO:0005993,10
GO:0042149,10
GO:0007165,10
GO:0006890,10
GO:0006986,10
GO:0006520,10
GO:1903833,10
GO:0045899,10
GO:0006412,10
GO:0006355,10
GO:0032258,9
GO:0001302,9
GO:0043486,9
GO:0018107,9
GO:0007089,9
GO:0006850,9
GO:0030433,9
GO:0006090,9
GO:0046854,9
GO:0030437,9
GO:0043085,9
GO:0007186,9
GO:0000727,9
GO:0008652,9
GO:0032147,9
GO:0006501,9
GO:0045944,9
GO:0006515,9
GO:0009086,9
GO:0043044,9
GO:0035999,9
GO:0007117,9
GO:0000002,9
GO:0006289,9
GO:0098869,9
GO:0006506,9
GO:0016573,9
GO:0006364,9
GO:0045910,9
GO:0034316,9
GO:0007004,9
GO:0006417,9
GO:0031505,9
GO:0070649,9
GO:0000196,9
GO:0097502,9
GO:0007005,9
GO:0031939,9
GO:0006995,9
GO:0007118,9
GO:0006620,9
GO:0016579,8
GO:0006086,8
GO:0000398,8
GO:0016226,8
GO:0016925,8
GO:0010507,8
GO:0006751,8
GO:0044805,8
GO:0050790,8
GO:0051028,8
GO:0009113,8
GO:0034497,8
GO:0006407,8
GO:0000447,8
GO:0000027,8
GO:0043328,8
GO:0016575,8
GO:0006312,8
GO:0000724,8
GO:0006897,8
GO:0005975,8
GO:0006895,8
GO:0051568,8
GO:0000722,8
GO:0006302,8
GO:0000028,7
GO:0016560,7
GO:0001403,7
GO:0045454,7
GO:0061186,7
GO:0007034,7
GO:0030011,7
GO:0006164,7
GO:0061188,7
GO:0009435,7
GO:0000729,7
GO:0017148,7
GO:0042147,7
GO:0006801,7
GO:0045333,7
GO:0006974,7
GO:0043248,6
GO:0000723,6
GO:0006333,6
GO:0007015,6
GO:0006896,6
GO:0070086,6
GO:0070131,6
GO:0034755,6
GO:0051017,6
GO:0051726,6
GO:0006869,5
GO:0006457,5
GO:0034599,5
GO:0055114,4
GO:0035753,4
