"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","0.0","53.449999999999996","0.663003663003663"
"fly","100","0.2","0.5","1","33.97","65.47","0.673992673992674"
"fly","100","0.2","0.5","2","0.0","37.8","0.6923076923076923"
"fly","100","0.2","0.5","3","37.8","75.59","0.6263736263736264"
"fly","100","0.2","0.5","4","36.309999999999995","37.8","0.7142857142857143"
"fly","100","0.2","0.5","5","0.0","53.449999999999996","0.6813186813186813"
"fly","100","0.2","0.5","6","35.36","80.92","0.575091575091575"
"fly","100","0.2","0.5","7","32.269999999999996","65.47","0.6446886446886447"
"fly","100","0.2","0.5","8","35.36","75.59","0.6227106227106227"
"fly","100","0.2","0.5","9","47.870000000000005","72.37","0.652014652014652"
"mouse","100","0.2","0.9","0","57.74","63.24999999999999","0.6680851063829787"
"mouse","100","0.2","0.9","1","39.44","54.769999999999996","0.6170212765957447"
"mouse","100","0.2","0.9","2","44.72","44.72","0.648936170212766"
"mouse","100","0.2","0.9","3","0.0","67.08","0.5914893617021276"
"mouse","100","0.2","0.9","4","42.16","0.0","0.6702127659574468"
"mouse","100","0.2","0.9","5","39.44","77.46","0.6638297872340425"
"mouse","100","0.2","0.9","6","44.72","44.72","0.6553191489361702"
"mouse","100","0.2","0.9","7","0.0","63.24999999999999","0.6680851063829787"
"mouse","100","0.2","0.9","8","44.72","0.0","0.6702127659574468"
"mouse","100","0.2","0.9","9","0.0","63.24999999999999","0.6404255319148936"
"worm","100","0.2","0.9","0","25.369999999999997","68.76","0.556989247311828"
"worm","100","0.2","0.9","1","23.97","54.47","0.5311827956989247"
"worm","100","0.2","0.9","2","45.11","62.08","0.5548387096774193"
"worm","100","0.2","0.9","3","25.840000000000003","65.12","0.5204301075268817"
"worm","100","0.2","0.9","4","39.76","57.78","0.5720430107526882"
"worm","100","0.2","0.9","5","47.910000000000004","56.05","0.5870967741935483"
"worm","100","0.2","0.9","6","41.56","64.5","0.5827956989247312"
"worm","100","0.2","0.9","7","51.21","48.54","0.5935483870967742"
"worm","100","0.2","0.9","8","48.75","54.43","0.6236559139784946"
"worm","100","0.2","0.9","9","40.46","61.45","0.5870967741935483"
"yeast","100","0.2","0.5","0","0.0","50.0","0.6513911620294599"
"yeast","100","0.2","0.5","1","0.0","0.0","0.6415711947626841"
"yeast","100","0.2","0.5","2","0.0","0.0","0.6333878887070377"
"yeast","100","0.2","0.5","3","0.0","0.0","0.6415711947626841"
"yeast","100","0.2","0.5","4","0.0","50.0","0.630114566284779"
"yeast","100","0.2","0.5","5","0.0","0.0","0.6432078559738135"
"yeast","100","0.2","0.5","6","0.0","49.68","0.6235679214402619"
"yeast","100","0.2","0.5","7","0.0","50.0","0.630114566284779"
"yeast","100","0.2","0.5","8","0.0","0.0","0.6399345335515548"
"yeast","100","0.2","0.5","9","0.0","0.0","0.6366612111292962"
